Plot,Quadrat,TreeNum,spp,PIGTAIL_2021,TAG_found_2021,LIVE_Dead_2021,COMMENTS_2021,Height1997_cm,LCL_length1997_cm,LdrGrowth1997_cm,CrownWidthNS1997_cm,CrownWidthEW1997_cm,BasalCaL1997mm,Vigor1995,Vigour1997,1995Comments,comment_1997
3,1,186,Sw,Y,Y,L,,53.5,53.5,5.5,21,20,8,good,,"open, by large dung pile",
3,1,187,Sw,N/F,,,,,,,,,,moderate,missing,open,missing
3,1,188,Sw,N/F,,,,47,27,6,21,18,5.5,good,,70cm from 2m spruce,
3,1,189,Sw,N/F,,,,56,56,5,25,25,7,good,,shaded by small balsam,
3,1,190,Sw,Y,Y,L,,46,46.5,4,23,27,6,mod-good,,"overlapped by mature spruce, balsam",
3,1,191,Sw,Y,Y,L,,46.5,45.5,6,20,21,6,mod-good,,,
3,1,192,Sw,N/F,,,,45,45,3,22,16,6,good,,"some necrotic foliage at base, by rotten log, under mature balsam",
3,1,193,Sw,Y,Y,D,,49,49,4,25,17,9,good,,open,new leader
3,1,194,Sw,Y,Y,L,,38,38,5.5,15,16,8,good,,overlapped by 2.5m balsam,"needle cast, new leader"
3,1,195,Sw,N/F,,,,36,36,1.5,20,20,7,mod-good,,relatively open,
3,1,196,Sw,Y,Y,L,,47,47,,23,20,7,good,,directly under mature balsam,
3,2,197,Sw,N/F,,,,51,51,3,22,19,7.5,mod-good,,"open, mold on top of plug slightly chlorotic",
3,2,198,Sw,Y,Y,D,,45,36,3,20,17,7,good,,"15 deg lean, plug well exposed",sweep
3,2,199,Sw,Y,Y,D,,46,29,,25,25,7.5,mod-good,,"some necrotic foliage, 20deg lean, plug exposed, open",
3,2,200,Sw,Y,Y,D,,42,42,2,19,18,10,good,,open,
3,2,201,Sw,Y,Y,L,,38,38,1.5,15,25,7,good,,open,
3,2,202,Sw,N/F,,,,50,44,2.5,22,19,7,mod-good,,"open, 10deg lean",
3,2,203,Sw,Y,Y,L,,41,34,,23,21,7,moderate,,sparse foliage,
3,2,204,Sw,N/F,,,,12,12,7,5,5,7,moderate,,"crushed bylog, 45deg lean, exposed cutplug","needle cast, new leader"
3,2,205,Sw,N/F,,,,46,27,,20,21,7.5,mod-good,,60 cm from half-dead 3m balsam,
3,2,206,Sw,Y,Y,L,,57.5,35,3,21,25,8,good,,"planted deep, necrotic at bottom, mature balsam above",
3,2,207,Sw,Y,Y,L,,55,55,1,15,17,8,good,,open,
3,2,208,Sw,Y,Y,L,,49.5,49.5,2,16,19,9,good,,under balsam,
3,2,209,Sw,N/F,,,,55,44,4.5,19,18,7,good,,open,
3,2,210,Sw,N/F,,,,59,41,1.5,26,31,8,very good,,"1.5m from mature spruce, one dead lateral",
3,2,211,Sw,Y,Y,D,,,,,,,,mod-good,,under balsam canopy,Dead
3,2,212,Sw,Y,Y,D,,57,57,3,29,24,8.5,good,,crooked leader,
3,2,213,Sw,N/F,,,,49,49,,20,20,7,moderate,,"under thick canopy, exposed plug",
3,2,214,Sw,Y,Y,D,,31,31,5,15,13,8,moderate,,"dead leader, 30deg lean",New Leader
3,3,215,Sw,N/F,,,,70,30,7,4,4,6,moderate,,necrotic foliage 1/2 way up stem,"Dead Leader, New Leader"
3,3,216,Sw,Y,Y,D,,,,,,,,good,,"crushed by log, light canopy",Dead
3,3,217,Sw,Y,Y,D,,,,,,,,poor,,live foliage up 1/3 stem only,Dead
3,3,218,Sw,N/F,,,,,,,,,,very poor,,"moribund-very little live foliage, 60deg lean, exposed plug",Dead
3,3,219,Sw,N/F,,,,58,58,3.5,20,20,7,good,,"dead terminal bud, measured lateral taking over as leader",
3,3,220,Sw,N/F,,,,54,39,2,17,17,8,good,,open directly above,"Chlorotic, wet"
3,3,221,Sw,N/F,,,,,,,,,,poor-mod,,"stepped on?, fairly thick canopy",Dead
3,3,222,Sw,N/F,,,,47,47,3,20,20,6,good,,"exposed plug, open",
3,3,223,Sw,Y,Y,D,,,,,,,,mod-good,,"top 1/2 of leader dead, no laterals, buds only, close canopy",Dead
3,3,224,Sw,N/F,,,,20,9,3,6,7,5,poor-mod,,stem bent at 45deg- crushed by fallen tree branches,"slash press, new leader"
3,3,225,Sw,Y,Y,D,,56,28,1.5,26,22,7.5,mod-good,,open,
3,3,226,Sw,N/F,,,,,,,,,,poor,,dead leader and top laterals,Dead
3,4,227,Sw,N/F,,,,52,33,3,27,25,8,mod-good,,dense canopy,
3,4,228,Sw,N/F,,,,,,,,,,mod-good,,overtopped by two small balsam (3-4m),Moribund
3,4,229,Sw,Y,Y,D,,,,,,,,poor,,"dead terminal bud/ top half of leader dead, dense canopy",Dead
3,4,230,Sw,N/F,,,,37,37,3,9,9,6.5,moderate,,"dead terminal bud, lateral is new leader",new leader
3,4,231,Sw,N/F,,,,,,,,,,poor-mod,,,Mortibund
3,4,232,Sw,N/F,,,,,,,,,,good,,"dead term. bud, lateral is leader, open, in midst of light , slash, lateral is leader, open",dead
3,4,233,Sw,N/F,,,,,,,,,,moderate,,"dead term. bud, lateral is leader, open",Dead
3,4,234,Sw,N/F,,,,,,,,,,poor,,"dead term. bud, lateral is leader, by brush pile, foliage, sparse- some dead, open",Dead
3,4,235,Sw,N/F,,,,50,30,4,27,24,7,moderate,,at edge of open area,Partial slash press
4,1,236,Sw,Y,Y,L,,32,16,5,15,10,8,moderate,,in heavy slash,
4,1,237,Sw,Y,Y,L,,48,48,6.5,26,20,7.5,mod-good,,"open- 2m from mature balsam, spruce",
4,1,238,Sw,N/F,,,,39,25,8,20,20,9.5,good,,"in scooped out screef, open",
4,1,239,Sw,Y,Y,D,,42,30,5,20,22,8,good,,,
4,1,240,Sw,Y,Y,L,Outside PSP,47,33,4,25,23,7,good,,large mature balsam over top,
4,1,241,Sw,Y,Y,D,,20,20,9,5,5,8,poor-mod,,bare of foliage in midriff,"needle cast, new leader"
4,1,242,Sw,N/F,,,,44,15,2,12,17,7,mod-good,,open,
4,1,243,Sw,Y,Y,L,,54,42,5.5,25,20,6.5,good,,15cm from log,
4,1,244,Sw,N/F,,,,,,,,,,mod-good,,open,veg press
4,1,245,Sw,Y,Y,D,,46,46,2,15,15,7,good,,in midst of small balsam,
4,1,246,Sw,Y,Y,L,,47,47,6.5,25,25,8,very good,,under mature balsam- within 1m,
4,1,247,Sw,Y,Y,L,PSP Borderline,46,46,4.5,20,20,6,good,,under 2 large balsam- curved stem,
4,1,248,Sw,N/F,,,,,,,,,,good,,open,"log press, hortizontal, new measure"
4,2,249,Sw,Y,Y,L,Approx 60cm Inside,48.5,48.5,3.5,20,20,9,mod-good,,"open, bent slightly near top",
4,2,250,Sw,Y,Y,L,PSP #506,55.5,55.5,4.5,20,25,7,mod-good,,"open, very slightly chlorotic, vertical traffic?",
4,2,251,Sw,Y,Y,L,Outside PSP,57,44,5.5,23,20,7.5,good,,"open, leaning at 30deg",
4,2,252,Sw,Y,Y,L,,59,48,10,31,22,10,mod-good,,open,sweep
4,2,253,Sw,Y,Y,L,Outside PSP,63,63,13,35,30,10,moderate,,"sparse foliage, balsam over top, 60cm away",
4,2,254,Sw,N/F,,,,52,32,6,26,26,7,moderate,,"under balsam, looks like some vehicle traffic",
4,2,255,Sw,N/F,,,,41,41,7,25,14,8,mod-good,,"65deg leaner, stepped on?",new leader
4,2,256,Sw,Y,Y,L,PSP Borderline,56,45,4,18,18,8,good,,60cm away from 7m balsam,
4,2,257,Sw,Y,Y,D,Broken,22,22,5,13,10,6,moderate,,"leader bent right over, under fallen tree","needle cast, bend top, new leader"
4,2,258,Sw,Y,Y,L,,54,54,11.5,30,24,9.5,good,,"mainly open, on mound",
4,2,259,Sw,Y,Y,L,,31.5,21,3,18,13,5.5,moderate,,"slightly bent, under fallen tree, 1m from 4m fallen balsam",
4,2,260,Sw,N/F,,,,36,35,8,19,23,7,good,,"in rotten wood pile, open",
4,3,261,Sw,N/F,,,,49,49,4,15,10,6,mod-good,,"under fallen tree, open",chlorotic
4,3,262,Sw,Y,Y,L,,50,5,10.5,20,22,8,good,,"slightly curved stem, under fallen tree",
4,3,263,Sw,Y,Y,L,,57,57,10,33,28,9,good,,open,
4,3,264,Sw,N/F,,,,38,38,4.5,25,23,7,good,,"under mature spruce, balsam",
4,3,265,Sw,Y,Y,L,In PSP,49,49,2,27,27,8,mod-good,,under mature balsam,
4,3,266,Sw,Y,Y,L,,60,38,4,24,26,9,mod-good,,"near base of rotten stump, under 5-8m balsam X2",
4,3,267,Sw,N/F,,,,41,25,3.5,17,16,8.5,good,,"30cm from fallen tree, in depression, mainly open",
4,3,268,Sw,Y,Y,L,Outside PSP,46.5,46.5,3.5,18,16,9,mod-good,,"bent at base, standing straight, slightly chlorotic near base, open",
4,3,269,Sw,N/F,,,,,,,,,,moderate,,"bent over, under fallen tree, open","no tree, slash press"
4,3,270,Sw,Y,Y,L,In PSP,43,43,7,22,20,7,good,,"in heavy slash, fairly open skies",
4,3,271,Sw,Y,Y,L,Outside PSP,38,38,4,15,20,8,mod-good,,under light balsam canopy,
4,4,272,Sw,Y,Y,L,,42,42,3,17,17,6,good,,light balsam canopy,
4,4,273,Sw,Y,Y,D,,,,,,,,moderate,,"broken leader, missing terminal bud, under fallen, tree, in open",
4,4,274,Sw,Y,Y,D,Wet Hole,36,36,5,15,15,6,mod-good,,open,no tree
4,4,275,Sw,Y,Y,L,PSP # 501,40,40,6,26,18,7,mod-good,,light balsam canopy,
4,4,276,Sw,Y,Y,L,,58,58,3,25,25,8,good,,"high balsam canopy, mostly open",
4,4,277,Sw,Y,N,L,"No Orange Tag, figured out by elimination, flagged and marked # 277",65,65,2.5,19,25,9,good,,1.5m from mature balsam,
4,4,278,Sw,Y,Y,D,,34,34,4,15,15,7,mod-good,,"slightly bent stem, 1m from mature balsam",
4,4,279,Sw,Y,Y,D,,,,,,,,moderate,,"dead terminal bud, leader, mainly open  ",
4,4,280,Sw,Y,Y,D,Heavy Huckleberry,,,,,,,good,,"slightly bent stem, open",
4,4,281,Sw,Y,Y,L,,53,53,6.5,18,22,7,mod-good,,"on mound, open",dead
4,4,282,Sw,N/F,,,,,,,,,,poor,,"under fallen tree, open, very sparse foliage esp. on leader",veg press
4,4,283,Sw,Y,Y,L,PSP # 502,57,57,11.5,32,29,9.5,good,,"leaning at 15deg, in open ",
4,4,284,Sw,Y,Y,L,,45,29,2,18,22,7,mod-good,,"slightly leaning, under brush pile",Dead
4,4,285,Sw,Y,Y,L,,42,42,2.5,15,19,7.5,good,,under high balsam canopy,
5,1,286,Sw,N/F,,,,53,40,5,30,30,9,very good,,open,
5,1,287,Sw,Y,Y,L,Within PSP,55,55,20,30,30,10,good,,"crooked leader, open except for branches of fallen tree",partial slash press
5,1,288,Sw,Y,Y,L,,82.5,82.5,19,35,45,10.5,very good,,"open, in crook of birch stump",
5,1,289,Sw,Y,Y,L,Outside PSP,42,42,11.5,30,28,11,good,,"open, on slope",
5,1,290,Sw,N/F,,,,49,49,15,25,29,9,good,,"open, except for dead branches on fallen tree",
5,1,291,Sw,N/F,,,,63,63,10.5,35,33,10.5,good,,under very tall mature spruce and smaller mature balsam,
5,1,292,Sw,Y,Y,L,Outside PSP,45,45,10,20,20,9.5,good,,"open skies, surrounded by heavy slash",
5,1,293,Sw,Y,Y,L,PSP # 12,63,63,15,30,25,11,good,,"open, surrounded by heavy slash",
5,1,294,Sw,Y,Y,D,,63,63,14.5,40,35,9.5,good,,open,
5,1,295,Sw,Y,Y,L,,54,54,7,20,20,7.5,good,,"in depression, next to several 50cm-1.5m spruce",
5,1,296,Sw,Y,Y,L,Outside PSP,56,56,15,25,20,9.5,good,,"open, next to slash, in 10cm hole",New leader
5,1,297,Sw,Y,Y,L,Borderline out of PSP,49,49,20,20,33,11.5,mod-good,,"slightly chlorotic, open, some machine traffic?",
5,2,298,Sw,Y,Y,D,Snow - pressed/out of PSP,54,54,10.5,30,32,9.5,good,,open,forked leader
5,2,299,Sw,Y,Y,L,PSP # 807,57,57,19.5,25,28,9.5,good,,"open, slightly bent stem",
5,2,300,Sw,Y,Y,L,,53,53,7.5,25,30,8,good,,1.5m from 8m mature spruce,
5,2,301,Sw,Y,Y,L,PSP# 809,62,62,13.5,40,37,14.5,good,,open,
5,2,302,Sw,Y,Y,L,Outside PSP,48,48,4.5,22,27,9,good,,"open, very slightly chlorotic",
5,2,303,Sw,N/F,,,,71.5,53,15,32,35,12.5,good,,"very slightly chlorotic, 1m from bushy 1.5 m balsam",
5,2,304,Sw,N/F,,,,45,45,7,25,30,9.5,good,,"open, in midst of light slash",Stem bent/ new leader
5,2,305,Sw,N/F,,,,55,43,13.5,30,20,9,good,,"open, light slash, in depression",
5,2,306,Sw,Y,Y,D,,49,49,12,20,20,10.5,very good,,encircled by 3 mature trees at 2.5 m away,New leader
5,2,307,Sw,Y,Y,L,Partially swept ,70,70,14.5,30,30,10.5,good,,"light slash, open, slight depression",
5,2,308,Sw,Y,Y,L,Borderline PSP,75,75,21.5,35,35,12.5,very good,,"1m from large mature birch, light slash,  in slight depression",
5,2,309,Sw,Y,Y,L,Outside PSP,60.5,60.5,17.5,37,30,10,good,,"slightly chlorotic, open",
5,2,310,Sw,Y,Y,L,Outside PSP,45,30,7,20,20,10.5,good,,open,Broken stem
5,3,311,Sw,Y,Y,D,,56.5,56.5,6,20,20,8,good,,"at base of ancient rotten log, open",
5,3,312,Sw,Y,Y,L,Within PSP,54,54,5,25,30,10,good,,"open, in 15cm deep hole",
5,3,313,Sw,Y,Y,L,Within PSP,62,62,16,35,30,10,good,,"open, 70cm from bushy 1.5m balsam, stem quite bent near top",
5,3,314,Sw,Y,Y,L,Snapped,53,53,13.5,30,25,9.5,good,,"open, in 10cm deep hole",
5,3,315,Sw,N/F,,,,51,51,55,25,32,7,good,,1m from 6m mature balsam,
5,3,316,Sw,Y,Y,D,,,,,,,,good,,"open, but surrounded by small bushy conifers",Mortibund
5,3,317,Sw,Y,Y,D,,30,30,3.5,10,10,7.5,mod-good,,"open, very bent, crushed stem, by rotten log",Veg Press
5,3,318,Sw,Y,Y,L,Outside PSP,57,57,10,30,25,9,very good,,"in depression, 1.5m from mature balsam",
5,3,319,Sw,N/F,,,,40,40,,20,15,6.5,good,,70cm from mature balsam,Chlorotic
5,3,320,Sw,N/F,,,,55,55,3.5,25,30,10.5,very good,,"open, in crook of balsam stump",
5,3,321,Sw,Y,Y,L,,45,35,7,20,25,6.5,good,,"open, near very large rotten log",
5,3,322,Sw,Y,Y,L,,,,,,,,good,,open,
5,4,323,Sw,Y,Y,L,PSP# 828,59,59,13,30,32,9.5,good,,open,
5,4,324,Sw,Y,Y,D,Tree gone,,,,,,,good,,1.5m from mature balsam to west,Dead
5,4,325,Sw,Y,Y,L,,50,35,6,25,28,7.5,good,,"open, slightly chlorotic, within 2m of 2X4m balsam",
5,4,326,Sw,Y,Y,D,,42,27,1.5,15,12,6,good,,"open, rotten logs on 2 sides",
5,4,327,Sw,Y,Y,D,,32.5,21.5,3.5,14,12,6.5,good,,"open above, but closely ringed by balsam of varying ages",
5,4,328,Sw,Y,Y,D,,60,50,8.5,30,33,11,mod-good,,"under dripline of mature balsam, bent leader, slightly chlorotic",Bent stem
5,4,329,Sw,Y,Y,L,,44,35,7,19.5,25,7.5,good,,open,
5,4,330,Sw,N/F,,,,56,56,5.5,26,24.5,8.5,very good,,under 4m tall balsam canopy,
5,4,331,Sw,Y,Y,L,,34,34,8,20,25,7.5,good,,"open, but amongst old fallen logs",
5,4,332,Sw,Y,Y,L,,26.5,26.5,7.5,14,12,6,good,,30cm from overshadowing log,New leader
5,4,333,Sw,Y,Y,L,,55,55,9.5,33,35,11.5,good,,open,bent stem
5,4,334,Sw,N/F,,,,57.5,57.5,16.5,33.5,32,9.5,good,,open,
5,4,335,Sw,Y,Y,L,,66,66,13.5,30,32,12.5,very good,,"open, on slope but in slight depression",
6,1,336,Sw,Y,Y,D,,,,,,,,good,,open,Mortibund
6,1,337,Sw,N/F,,,,,,,,,,poor-mod,,"under balsam, many missing needles",Dead
6,1,338,Sw,N/F,,,,,,,,,,good,,in depression surrounded by 2-3m conifers,Tag but no tree
6,1,339,Sw,N/F,,,,47,25,3,25.5,25,7.5,moderate,,dead terminal bud- overtopped by shrubs,Veg press
6,1,340,Sw,Y,Y,D,,,,,,,,good,,open,Dead
6,1,341,Sw,N/F,,,,,,,,,,poor,,under balsam,Dead
6,1,342,Sw,Y,Y,D,Outside PSP,49,32,6,20,20,6,mod-good,,in close proximity to 2-3m cluster of balsam,
6,1,343,Sw,Y,Y,D,,,,,,,,good,,open- 50cm from deep gouge,Mortibund
6,1,344,Sw,Y,Y,D,,40,21,3,20,15,4.5,moderate,,"many missing/broken needles, under canopy",sweep
6,1,345,Sw,Y,Y,D,,44,44,5.5,15,21,4.5,moderate,,under medium-high canopy,
6,1,346,Sw,Y,Y,D,,48,48,6,17,15,5,mod-good,,under shrubs,
6,1,347,Sw,Y,Y,D,,,,,,,,moderate,,"under very high single balsam, some dead needles",Mortibund
6,1,348,Sw,N/F,,,,37,37,5.5,19,22,6,moderate,,"sparse foliage, under one 5m balsam",New leader
6,2,349,Sw,Y,Y,D,,,,,,,,good,,within 2m of 4m tall balsam ,DEad
6,2,350,Sw,Y,Y,L,Edge of PSP,49,37,11.5,20,22,5,good,,"under high canopy, under shrubs",
6,2,351,Sw,N/F,,,,44.5,44.5,3.5,25,22,6,good,,1.5m from very tall mature spruce,
6,2,352,Sw,Y,Y,L,Outside PSP,51,51,4,24,22,6.5,good,,"no shrubs over top, medium-high balsam canopy",
6,2,353,Sw,Y,Y,L,,54,54,7,25,22,7.5,very good,,"open, in slight depression, rotten loge all around",
6,2,354,Sw,Y,Y,L,,54,54,6.5,22,27,6,good,,"semi-open, 1.5m from 8m balsam",
6,2,355,Sw,Y,Y,L,,46,46,2.5,22,25,55,good,,semi-open,
6,2,356,Sw,Y,Y,D,,30,40,,15,15,5,good,,under fairly heavy canopy,
6,2,357,Sw,Y,Y,D,,30,30,,18,16,6,good,,open,No leader
6,2,358,Sw,Y,Y,L,,57,57,4.5,25,20,7,moderate,,many dead buds,
6,2,359,Sw,Y,Y,D,,36,36,5,15,19,5,good,,open,Bushy top
6,2,360,Sw,Y,Y,L,,48,30,3.5,20,16,7,mod-good,,under high mature canopy,
6,2,361,Sw,Y,Y,L,,45,45,5,20,30,6,good,,"dead terminal bud, lateral is leader, semi-open",
6,2,362,Sw,N/F,,,,36.5,25.5,0.5,20,15,4.5,moderate,,"very few laterals, under relatively heavy canopy, some dead/missing needles",
6,2,363,Sw,Y,Y,D,,50,50,7,20,23,6,good,,under medium-high balsam canopy,
6,3,364,Sw,N/F,,,,46.5,46.5,8.5,20,21,7,good,,"open, on mound",
6,3,365,Sw,N/F,,,,65.5,55,7.5,30,27,8,very good,,under high canopy,
6,3,366,Sw,N/F,,,,55,55,9.5,18,21,6.5,good,,"under heavy canopy, dead foliage at terminal bud",
6,3,367,Sw,Y,Y,D,,54,38,4.5,25,30,7.5,good,,semi-open,
6,3,368,Sw,Y,Y,D,Under blowdown,55,55,8.5,20,15,5.5,mod-good,,"some dead buds, under heavy canopy",
6,3,369,Sw,Y,Y,L,,55,44,10,22,21,6.5,good,,80cm from 6m balsam ,
6,3,370,Sw,N/F,,,,48,27,7.5,20,20,6.5,good,,"semi-open, in hole by rotten stump",New leader
6,3,371,Sw,N/F,,,,,,,,,,mod-good,,"dead terminal bud, lateral is leader, open, some dead foliage",Dead
6,3,372,Sw,Y,Y,L,,50,50,6.5,25,22,5.5,mod-good,,"semi-open, many dead/missing needles",
6,3,373,Sw,N/F,,,,45,30,7.5,15,15,4,mod-good,,"semi-open, some dead buds",Leaning
6,4,374,Sw,Y,Y,D,,57,57,6,25,25,6.5,good,,"in groove of mature trees, in depression",
6,4,375,Sw,Y,Y,L,Low vigor,50,50,7,25,35,6,good,," in groove of mature trees, dead terminal bud",
6,4,376,Sw,N/F,,,,43,32,4.5,15,15,5,moderate,,ringed by mature trees within 1.5m,New leader
6,4,377,Sw,N/F,,,,49,49,7,20,25,6,moderate,,"dead terminal bud + others, open",
6,4,378,Sw,Y,Y,L,,52,43,4.5,25,25,7,good,,"in crook of rotten stump, semi-open",
6,4,379,Sw,N/F,,,,45.5,34,5.5,15,15,5,good,,"open but for shrubs, in hollow by rotten log & stump",
6,4,380,Sw,Y,Y,D,,43.5,43.5,5.5,20,25,6,good,,semi-open with high canopy,
6,4,381,Sw,Y,Y,D,,44,44,5,20,20,6,good,,"in tight grove of conifers, right by two rotten logs",
6,4,382,Sw,Y,Y,D,Probably died in less than 5 years,52,42,4.5,25,20,7.5,very good,,under very tall spruce,
6,4,383,Sw,N/F,,,,45,45,5,20,15,5,good,,"semi-open, on side of mound",New leader
6,4,384,Sw,N/F,,,,35.5,35.5,11,21,20,5,good,,"sparse foliage on stem, under 5m balsam",
6,4,385,Sw,Y,Y,D,,46,46,4.5,28,25,7.5,very good,,under very tall spruce + other balsam,Plug exposed
6,4,386,Sw,Y,Y,D,,36.5,36.5,4,18,20,5.5,good,,under very tall spruce + other balsam,New Leader
7,1,387,Sw,Y,Y,L,,61,61,10,40,35,8,very good,,under balsam ,
